# cid2code.txt (Beta Version 2018-05-15)
#
# The data in this table contains four tab-delimited columns of
# information. The contents of this file supplement "The Adobe-KR-9
# Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-KR/
#
# This table contains lists CIDs 0 through 22875 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o There are cases of multiple code points mapping to the same CID
#   within a single CMap resource. These cases are comma-delimited
#   within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniAKR-UTF8-H" CMap resource
#   (Unicode Version 10.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniAKR-UTF16-H" CMap resource
#   (Unicode Version 10.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniAKR-UTF32-H" CMap resource
#   (Unicode Version 10.0 UTF-32 encoding).
#
CID	UniAKR-UTF8	UniAKR-UTF16	UniAKR-UTF32
3928	ec92b9	c4b9	0000c4b9
3929	ec92bf	c4bf	0000c4bf
3930	ec9380	c4c0	0000c4c0
3931	ec9388	c4c8	0000c4c8
3932	ec9389	c4c9	0000c4c9
3933	ec938b	c4cb	0000c4cb
3934	ec938d	c4cd	0000c4cd
3935	ec9393	c4d3	0000c4d3
3936	ec9395	c4d5	0000c4d5
3937	ec9398	c4d8	0000c4d8
3938	ec939b	c4db	0000c4db
3939	ec939c	c4dc	0000c4dc
3940	ec93a4	c4e4	0000c4e4
3941	ec93a5	c4e5	0000c4e5
3942	ec93a7	c4e7	0000c4e7
3943	ec93b7	c4f7	0000c4f7
3944	ec9485	c505	0000c505
3945	ec948d	c50d	0000c50d
3946	ec949d	c51d	0000c51d
3947	ec949f	c51f	0000c51f
3948	ec94a1	c521	0000c521
3949	ec94af	c52f	0000c52f
3950	ec94b1	c531	0000c531
3951	ec9580	c540	0000c540
3952	ec9583	c543	0000c543
3953	ec9592	c552	0000c552
3954	ec9596	c556	0000c556
3955	ec959a	c55a	0000c55a
3956	ec959b	c55b	0000c55b
3957	ec959f	c55f	0000c55f
3958	ec95a7	c567	0000c567
3959	ec95b9	c579	0000c579
3960	ec95ba	c57a	0000c57a
3961	ec95be	c57e	0000c57e
3962	ec9683	c583	0000c583
3963	ec9692	c592	0000c592
3964	ec9694	c594	0000c594
3965	ec9699	c599	0000c599
3966	ec969f	c59f	0000c59f
3967	ec96a8	c5a8	0000c5a8
3968	ec96ab	c5ab	0000c5ab
3969	ec96b6	c5b6	0000c5b6
3970	ec96bf	c5bf	0000c5bf
3971	ec9797	c5d7	0000c5d7
3972	ec97a9	c5e9	0000c5e9
3973	ec97aa	c5ea	0000c5ea
3974	ec97b1	c5f1	0000c5f1
3975	ec97b3	c5f3	0000c5f3
3976	ec97b8	c5f8	0000c5f8
3977	ec9884	c604	0000c604
3978	ec9889	c609	0000c609
3979	ec98a0	c620	0000c620
3980	ec98aa	c62a	0000c62a
3981	ec98b2	c632	0000c632
3982	ec98ba	c63a	0000c63a
3983	ec98bd	c63d	0000c63d
3984	ec98be	c63e	0000c63e
3985	ec9987	c647	0000c647
3986	ec9999	c659	0000c659
3987	ec99a3	c663	0000c663
3988	ec99a4	c664	0000c664
3989	ec99bf	c67f	0000c67f
3990	ec9a82	c682	0000c682
3991	ec9a92	c692	0000c692
3992	ec9a9b	c69b	0000c69b
3993	ec9a9d	c69d	0000c69d
3994	ec9aac	c6ac	0000c6ac
3995	ec9abc	c6bc	0000c6bc
3996	ec9b86	c6c6	0000c6c6
3997	ec9b89	c6c9	0000c6c9
3998	ec9b92	c6d2	0000c6d2
3999	ec9b93	c6d3	0000c6d3
4000	ec9b98	c6d8	0000c6d8
4001	ec9ba4	c6e4	0000c6e4
4002	ec9ba5	c6e5	0000c6e5
4003	ec9baf	c6ef	0000c6ef
4004	ec9bbc	c6fc	0000c6fc
4005	ec9c81	c701	0000c701
4006	ec9c8b	c70b	0000c70b
4007	ec9c8e	c70e	0000c70e
4008	ec9c93	c713	0000c713
4009	ec9c9c	c71c	0000c71c
4010	ec9c9d	c71d	0000c71d
4011	ec9ca7	c727	0000c727
4012	ec9cb6	c736	0000c736
4013	ec9cb8	c738	0000c738
4014	ec9cb9	c739	0000c739
4015	ec9d85	c745	0000c745
4016	ec9d86	c746	0000c746
4017	ec9d99	c759	0000c759
4018	ec9d9f	c75f	0000c75f
4019	ec9da6	c766	0000c766
4020	ec9e80	c780	0000c780
4021	ec9e82	c782	0000c782
4022	ec9e86	c786	0000c786
4023	ec9e8b	c78b	0000c78b
4024	ec9e8f	c78f	0000c78f
4025	ec9e93	c793	0000c793
4026	ec9e99	c799	0000c799
4027	ec9ea7	c7a7	0000c7a7
4028	ec9ea9	c7a9	0000c7a9
4029	ec9eaa	c7aa	0000c7aa
4030	ec9eab	c7ab	0000c7ab
4031	ec9eb2	c7b2	0000c7b2
4032	ec9eb3	c7b3	0000c7b3
4033	ec9f82	c7c2	0000c7c2
4034	ec9f8f	c7cf	0000c7cf
4035	ec9f99	c7d9	0000c7d9
4036	ec9f9b	c7db	0000c7db
4037	ec9fab	c7eb	0000c7eb
4038	ec9fb4	c7f4	0000c7f4
4039	ec9fb7	c7f7	0000c7f7
4040	ec9fb9	c7f9	0000c7f9
4041	eca086	c806	0000c806
4042	eca099	c819	0000c819
4043	eca09b	c81b	0000c81b
4044	eca0a3	c823	0000c823
4045	eca0b0	c830	0000c830
4046	eca0b2	c832	0000c832
4047	eca0b6	c836	0000c836
4048	eca0bf	c83f	0000c83f
4049	eca181	c841	0000c841
4050	eca183	c843	0000c843
4051	eca187	c847	0000c847
4052	eca18e	c84e	0000c84e
4053	eca191	c851	0000c851
4054	eca193	c853	0000c853
4055	eca195	c855	0000c855
4056	eca198	c858	0000c858
4057	eca19c	c85c	0000c85c
4058	eca1a4	c864	0000c864
4059	eca1a5	c865	0000c865
4060	eca1a7	c867	0000c867
4061	eca1a9	c869	0000c869
4062	eca1b7	c877	0000c877
4063	eca292	c892	0000c892
4064	eca293	c893	0000c893
4065	eca295	c895	0000c895
4066	eca29c	c89c	0000c89c
4067	eca2a0	c8a0	0000c8a0
4068	eca2a9	c8a9	0000c8a9
4069	eca2af	c8af	0000c8af
4070	eca2b0	c8b0	0000c8b0
4071	eca2b8	c8b8	0000c8b8
4072	eca2bb	c8bb	0000c8bb
4073	eca38b	c8cb	0000c8cb
4074	eca398	c8d8	0000c8d8
4075	eca3a7	c8e7	0000c8e7
4076	eca3a8	c8e8	0000c8e8
4077	eca3b0	c8f0	0000c8f0
4078	eca3b1	c8f1	0000c8f1
4079	eca3b3	c8f3	0000c8f3
4080	eca3bb	c8fb	0000c8fb
4081	eca483	c903	0000c903
4082	eca488	c908	0000c908
4083	eca497	c917	0000c917
4084	eca499	c919	0000c919
4085	eca49c	c91c	0000c91c
4086	eca49f	c91f	0000c91f
4087	eca4a0	c920	0000c920
4088	eca4a8	c928	0000c928
4089	eca4a9	c929	0000c929
4090	eca4ab	c92b	0000c92b
4091	eca4ad	c92d	0000c92d
4092	eca4b5	c935	0000c935
4093	eca4b8	c938	0000c938
4094	eca4bb	c93b	0000c93b
4095	eca4bc	c93c	0000c93c
4096	eca584	c944	0000c944
4097	eca585	c945	0000c945
4098	eca587	c947	0000c947
4099	eca588	c948	0000c948
4100	eca589	c949	0000c949
4101	eca597	c957	0000c957
4102	eca5a5	c965	0000c965
4103	eca5bd	c97d	0000c97d
4104	eca5bf	c97f	0000c97f
4105	eca68f	c98f	0000c98f
4106	eca691	c991	0000c991
4107	eca694	c994	0000c994
4108	eca69e	c99e	0000c99e
4109	eca6a5	c9a5	0000c9a5
4110	eca6a8	c9a8	0000c9a8
4111	eca6ac	c9ac	0000c9ac
4112	eca6b4	c9b4	0000c9b4
4113	eca6b5	c9b5	0000c9b5
4114	eca6b7	c9b7	0000c9b7
4115	eca6b9	c9b9	0000c9b9
4116	eca78f	c9cf	0000c9cf
4117	eca792	c9d2	0000c9d2
4118	eca79b	c9db	0000c9db
4119	eca79e	c9de	0000c9de
4120	eca7a8	c9e8	0000c9e8
4121	eca7b7	c9f7	0000c9f7
4122	eca7bf	c9ff	0000c9ff
4123	eca895	ca15	0000ca15
4124	eca89a	ca1a	0000ca1a
4125	eca89c	ca1c	0000ca1c
4126	eca8a5	ca25	0000ca25
4127	eca8a7	ca27	0000ca27
4128	eca8ad	ca2d	0000ca2d
4129	eca8b4	ca34	0000ca34
4130	eca993	ca53	0000ca53
4131	eca997	ca57	0000ca57
4132	eca998	ca58	0000ca58
4133	eca99b	ca5b	0000ca5b
4134	eca9a7	ca67	0000ca67
4135	eca9a9	ca69	0000ca69
4136	eca9ac	ca6c	0000ca6c
4137	eca9af	ca6f	0000ca6f
4138	eca9b8	ca78	0000ca78
4139	eca9b9	ca79	0000ca79
4140	eca9bb	ca7b	0000ca7b
4141	eca9bc	ca7c	0000ca7c
4142	ecaa81	ca81	0000ca81
4143	ecaa85	ca85	0000ca85
4144	ecaa88	ca88	0000ca88
4145	ecaa8b	ca8b	0000ca8b
4146	ecaa8c	ca8c	0000ca8c
4147	ecaa94	ca94	0000ca94
4148	ecaa95	ca95	0000ca95
4149	ecaa97	ca97	0000ca97
4150	ecaa99	ca99	0000ca99
4151	ecaaa0	caa0	0000caa0
4152	ecaaa1	caa1	0000caa1
4153	ecaaa4	caa4	0000caa4
4154	ecaaa8	caa8	0000caa8
4155	ecaab0	cab0	0000cab0
4156	ecaab1	cab1	0000cab1
4157	ecaab3	cab3	0000cab3
4158	ecaab5	cab5	0000cab5
4159	ecaabe	cabe	0000cabe
4160	ecab86	cac6	0000cac6
4161	ecab97	cad7	0000cad7
4162	ecab9f	cadf	0000cadf
4163	ecaba8	cae8	0000cae8
4164	ecaba9	cae9	0000cae9
4165	ecabab	caeb	0000caeb
4166	ecabad	caed	0000caed
4167	ecabb5	caf5	0000caf5
4168	ecabb8	caf8	0000caf8
4169	ecabbb	cafb	0000cafb
4170	ecabbc	cafc	0000cafc
4171	ecac91	cb11	0000cb11
4172	ecac97	cb17	0000cb17
4173	ecaca3	cb23	0000cb23
4174	ecaca4	cb24	0000cb24
4175	ecaca5	cb25	0000cb25
4176	ecacb0	cb30	0000cb30
4177	ecacb4	cb34	0000cb34
4178	ecacbc	cb3c	0000cb3c
4179	ecacbd	cb3d	0000cb3d
4180	ecacbf	cb3f	0000cb3f
4181	ecad8a	cb4a	0000cb4a
4182	ecad8f	cb4f	0000cb4f
4183	ecad92	cb52	0000cb52
4184	ecada5	cb65	0000cb65
4185	ecada8	cb68	0000cb68
4186	ecadab	cb6b	0000cb6b
4187	ecadac	cb6c	0000cb6c
4188	ecadb4	cb74	0000cb74
4189	ecadb5	cb75	0000cb75
4190	ecadb7	cb77	0000cb77
4191	ecae81	cb81	0000cb81
4192	ecae84	cb84	0000cb84
4193	ecae87	cb87	0000cb87
4194	ecae88	cb88	0000cb88
4195	ecae90	cb90	0000cb90
4196	ecae91	cb91	0000cb91
4197	ecae94	cb94	0000cb94
4198	ecae95	cb95	0000cb95
4199	ecae9d	cb9d	0000cb9d
4200	ecaea0	cba0	0000cba0
4201	ecaea3	cba3	0000cba3
4202	ecaea4	cba4	0000cba4
4203	ecaeac	cbac	0000cbac
4204	ecaead	cbad	0000cbad
4205	ecaeaf	cbaf	0000cbaf
4206	ecaeb1	cbb1	0000cbb1
4207	ecaeb9	cbb9	0000cbb9
4208	ecaebc	cbbc	0000cbbc
4209	ecaf80	cbc0	0000cbc0
4210	ecaf88	cbc8	0000cbc8
4211	ecaf89	cbc9	0000cbc9
4212	ecaf8b	cbcb	0000cbcb
4213	ecaf98	cbd8	0000cbd8
4214	ecaf9b	cbdb	0000cbdb
4215	ecaf9c	cbdc	0000cbdc
4216	ecafa5	cbe5	0000cbe5
4217	ecafaa	cbea	0000cbea
4218	ecafb0	cbf0	0000cbf0
4219	ecafb1	cbf1	0000cbf1
4220	ecafb4	cbf4	0000cbf4
4221	ecafb8	cbf8	0000cbf8
4222	ecb080	cc00	0000cc00
4223	ecb081	cc01	0000cc01
4224	ecb083	cc03	0000cc03
4225	ecb085	cc05	0000cc05
4226	ecb086	cc06	0000cc06
4227	ecb0af	cc2f	0000cc2f
4228	ecb0b1	cc31	0000cc31
4229	ecb182	cc42	0000cc42
4230	ecb18b	cc4b	0000cc4b
4231	ecb19b	cc5b	0000cc5b
4232	ecb19e	cc5e	0000cc5e
4233	ecb1a1	cc61	0000cc61
4234	ecb1b1	cc71	0000cc71
4235	ecb1b3	cc73	0000cc73
4236	ecb1ba	cc7a	0000cc7a
4237	ecb1bc	cc7c	0000cc7c
4238	ecb291	cc91	0000cc91
4239	ecb29f	cc9f	0000cc9f
4240	ecb2a7	cca7	0000cca7
4241	ecb2ae	ccae	0000ccae
4242	ecb2b2	ccb2	0000ccb2
4243	ecb2bb	ccbb	0000ccbb
4244	ecb383	ccc3	0000ccc3
4245	ecb388	ccc8	0000ccc8
4246	ecb391	ccd1	0000ccd1
4247	ecb397	ccd7	0000ccd7
4248	ecb398	ccd8	0000ccd8
4249	ecb3a0	cce0	0000cce0
4250	ecb3a3	cce3	0000cce3
4251	ecb3ad	cced	0000cced
4252	ecb3b4	ccf4	0000ccf4
4253	ecb3bc	ccfc	0000ccfc
4254	ecb3bd	ccfd	0000ccfd
4255	ecb3bf	ccff	0000ccff
4256	ecb48f	cd0f	0000cd0f
4257	ecb4ab	cd2b	0000cd2b
4258	ecb4b4	cd34	0000cd34
4259	ecb4b7	cd37	0000cd37
4260	ecb584	cd44	0000cd44
4261	ecb593	cd53	0000cd53
4262	ecb594	cd54	0000cd54
4263	ecb59d	cd5d	0000cd5d
4264	ecb5a3	cd63	0000cd63
4265	ecb5b0	cd70	0000cd70
4266	ecb5b9	cd79	0000cd79
4267	ecb5bc	cd7c	0000cd7c
4268	ecb680	cd80	0000cd80
4269	ecb689	cd89	0000cd89
4270	ecb68b	cd8b	0000cd8b
4271	ecb68d	cd8d	0000cd8d
4272	ecb69b	cd9b	0000cd9b
4273	ecb6b1	cdb1	0000cdb1
4274	ecb6b4	cdb4	0000cdb4
4275	ecb6b7	cdb7	0000cdb7
4276	ecb6b8	cdb8	0000cdb8
4277	ecb780	cdc0	0000cdc0
4278	ecb781	cdc1	0000cdc1
4279	ecb783	cdc3	0000cdc3
4280	ecb785	cdc5	0000cdc5
4281	ecb79c	cddc	0000cddc
4282	ecb79d	cddd	0000cddd
4283	ecb79f	cddf	0000cddf
4284	ecb7a0	cde0	0000cde0
4285	ecb7a1	cde1	0000cde1
4286	ecb7a9	cde9	0000cde9
4287	ecb7af	cdef	0000cdef
4288	ecb895	ce15	0000ce15
4289	ecb897	ce17	0000ce17
4290	ecb8a7	ce27	0000ce27
4291	ecb8ac	ce2c	0000ce2c
4292	ecb8bd	ce3d	0000ce3d
4293	ecb980	ce40	0000ce40
4294	ecb984	ce44	0000ce44
4295	ecb98c	ce4c	0000ce4c
4296	ecb98d	ce4d	0000ce4d
4297	ecb98f	ce4f	0000ce4f
4298	ecb991	ce51	0000ce51
4299	ecb9b2	ce72	0000ce72
4300	ecba88	ce88	0000ce88
4301	ecba8d	ce8d	0000ce8d
4302	ecba8e	ce8e	0000ce8e
4303	ecba97	ce97	0000ce97
4304	ecbaa9	cea9	0000cea9
4305	ecbaaa	ceaa	0000ceaa
4306	ecbab4	ceb4	0000ceb4
4307	ecbabc	cebc	0000cebc
4308	ecbabd	cebd	0000cebd
4309	ecbabf	cebf	0000cebf
4310	ecbb88	cec8	0000cec8
4311	ecbb8c	cecc	0000cecc
4312	ecbbbb	cefb	0000cefb
4313	ecbbbe	cefe	0000cefe
4314	ecbc87	cf07	0000cf07
4315	ecbc9a	cf1a	0000cf1a
4316	ecbc9d	cf1d	0000cf1d
4317	ecbca3	cf23	0000cf23
4318	ecbcb9	cf39	0000cf39
4319	ecbcbc	cf3c	0000cf3c
4320	ecbd80	cf40	0000cf40
4321	ecbd88	cf48	0000cf48
4322	ecbd89	cf49	0000cf49
4323	ecbd8b	cf4b	0000cf4b
4324	ecbd8c	cf4c	0000cf4c
4325	ecbd8d	cf4d	0000cf4d
4326	ecbdaa	cf6a	0000cf6a
4327	ecbdae	cf6e	0000cf6e
4328	ecbe81	cf81	0000cf81
4329	ecbe8d	cf8d	0000cf8d
4330	ecbe90	cf90	0000cf90
4331	ecbe93	cf93	0000cf93
4332	ecbe94	cf94	0000cf94
4333	ecbe9c	cf9c	0000cf9c
4334	ecbe9d	cf9d	0000cf9d
4335	ecbe9f	cf9f	0000cf9f
4336	ecbea9	cfa9	0000cfa9
4337	ecbeac	cfac	0000cfac
4338	ecbeb8	cfb8	0000cfb8
4339	ecbeb9	cfb9	0000cfb9
4340	ecbebb	cfbb	0000cfbb
4341	ecbebd	cfbd	0000cfbd
4342	ecbf85	cfc5	0000cfc5
4343	ecbf8c	cfcc	0000cfcc
4344	ecbf94	cfd4	0000cfd4
4345	ecbf95	cfd5	0000cfd5
4346	ecbf97	cfd7	0000cfd7
4347	ecbf99	cfd9	0000cfd9
4348	ecbfa7	cfe7	0000cfe7
4349	ecbfba	cffa	0000cffa
4350	ed8083	d003	0000d003
4351	ed808d	d00d	0000d00d
4352	ed8090	d010	0000d010
4353	ed8099	d019	0000d019
4354	ed80a8	d028	0000d028
4355	ed80a9	d029	0000d029
4356	ed80ab	d02b	0000d02b
4357	ed80ac	d02c	0000d02c
4358	ed80bb	d03b	0000d03b
4359	ed8191	d051	0000d051
4360	ed81a1	d061	0000d061
4361	ed81a3	d063	0000d063
4362	ed81a5	d065	0000d065
4363	ed81a8	d068	0000d068
4364	ed81b6	d076	0000d076
4365	ed81bf	d07f	0000d07f
4366	ed8289	d089	0000d089
4367	ed828c	d08c	0000d08c
4368	ed8290	d090	0000d090
4369	ed8298	d098	0000d098
4370	ed8299	d099	0000d099
4371	ed829b	d09b	0000d09b
4372	ed829d	d09d	0000d09d
4373	ed82ab	d0ab	0000d0ab
4374	ed82be	d0be	0000d0be
4375	ed838a	d0ca	0000d0ca
4376	ed838f	d0cf	0000d0cf
4377	ed839a	d0da	0000d0da
4378	ed83a2	d0e2	0000d0e2
4379	ed83a3	d0e3	0000d0e3
4380	ed83a5	d0e5	0000d0e5
4381	ed83b6	d0f6	0000d0f6
4382	ed83b9	d0f9	0000d0f9
4383	ed83bc	d0fc	0000d0fc
4384	ed8480	d100	0000d100
4385	ed8488	d108	0000d108
4386	ed8489	d109	0000d109
4387	ed848b	d10b	0000d10b
4388	ed8498	d118	0000d118
4389	ed849a	d11a	0000d11a
4390	ed84b7	d137	0000d137
4391	ed84b9	d139	0000d139
4392	ed8593	d153	0000d153
4393	ed85a0	d160	0000d160
4394	ed85a9	d169	0000d169
4395	ed85af	d16f	0000d16f
4396	ed85b8	d178	0000d178
4397	ed85b9	d179	0000d179
4398	ed85bd	d17d	0000d17d
4399	ed8685	d185	0000d185
4400	ed868c	d18c	0000d18c
4401	ed8694	d194	0000d194
4402	ed8697	d197	0000d197
4403	ed8699	d199	0000d199
4404	ed86b7	d1b7	0000d1b7
4405	ed86b8	d1b8	0000d1b8
4406	ed86b9	d1b9	0000d1b9
4407	ed86bd	d1bd	0000d1bd
4408	ed8784	d1c4	0000d1c4
4409	ed878c	d1cc	0000d1cc
4410	ed878d	d1cd	0000d1cd
4411	ed878f	d1cf	0000d1cf
4412	ed8791	d1d1	0000d1d1
4413	ed87ac	d1ec	0000d1ec
4414	ed87ad	d1ed	0000d1ed
4415	ed87b5	d1f5	0000d1f5
4416	ed87bc	d1fc	0000d1fc
4417	ed8884	d204	0000d204
4418	ed8885	d205	0000d205
4419	ed8888	d208	0000d208
4420	ed8891	d211	0000d211
4421	ed8894	d214	0000d214
4422	ed8898	d218	0000d218
4423	ed88a0	d220	0000d220
4424	ed88a1	d221	0000d221
4425	ed88a3	d223	0000d223
4426	ed88b3	d233	0000d233
4427	ed8989	d249	0000d249
4428	ed898c	d24c	0000d24c
4429	ed898f	d24f	0000d24f
4430	ed8990	d250	0000d250
4431	ed8994	d254	0000d254
4432	ed8998	d258	0000d258
4433	ed8999	d259	0000d259
4434	ed899b	d25b	0000d25b
4435	ed899d	d25d	0000d25d
4436	ed89a5	d265	0000d265
4437	ed89a8	d268	0000d268
4438	ed89ab	d26b	0000d26b
4439	ed89ac	d26c	0000d26c
4440	ed89b4	d274	0000d274
4441	ed89b5	d275	0000d275
4442	ed89b8	d278	0000d278
4443	ed89b9	d279	0000d279
4444	ed8a87	d287	0000d287
4445	ed8a93	d293	0000d293
4446	ed8a9d	d29d	0000d29d
4447	ed8aad	d2ad	0000d2ad
4448	ed8aaf	d2af	0000d2af
4449	ed8abb	d2bb	0000d2bb
4450	ed8b81	d2c1	0000d2c1
4451	ed8b84	d2c4	0000d2c4
4452	ed8b95	d2d5	0000d2d5
4453	ed8ba0	d2e0	0000d2e0
4454	ed8ba7	d2e7	0000d2e7
4455	ed8ba9	d2e9	0000d2e9
4456	ed8bb7	d2f7	0000d2f7
4457	ed8c88	d308	0000d308
4458	ed8c8a	d30a	0000d30a
4459	ed8ca3	d323	0000d323
4460	ed8ca6	d326	0000d326
4461	ed8d81	d341	0000d341
4462	ed8d88	d348	0000d348
4463	ed8d8c	d34c	0000d34c
4464	ed8d94	d354	0000d354
4465	ed8d95	d355	0000d355
4466	ed8d97	d357	0000d357
4467	ed8d99	d359	0000d359
4468	ed8da0	d360	0000d360
4469	ed8e83	d383	0000d383
4470	ed8e8e	d38e	0000d38e
4471	ed8e95	d395	0000d395
4472	ed8e9f	d39f	0000d39f
4473	ed8eac	d3ac	0000d3ac
4474	ed8eb2	d3b2	0000d3b2
4475	ed8eb9	d3b9	0000d3b9
4476	ed8ebb	d3bb	0000d3bb
4477	ed8f87	d3c7	0000d3c7
4478	ed8f91	d3d1	0000d3d1
4479	ed8f97	d3d7	0000d3d7
4480	ed8fa0	d3e0	0000d3e0
4481	ed8fa5	d3e5	0000d3e5
4482	ed8fae	d3ee	0000d3ee
4483	ed8fb3	d3f3	0000d3f3
4484	ed9084	d404	0000d404
4485	ed9086	d406	0000d406
4486	ed908c	d40c	0000d40c
4487	ed9090	d410	0000d410
4488	ed9098	d418	0000d418
4489	ed9099	d419	0000d419
4490	ed909b	d41b	0000d41b
4491	ed90a4	d424	0000d424
4492	ed9181	d441	0000d441
4493	ed9188	d448	0000d448
4494	ed9190	d450	0000d450
4495	ed9191	d451	0000d451
4496	ed9193	d453	0000d453
4497	ed9195	d455	0000d455
4498	ed919d	d45d	0000d45d
4499	ed91a3	d463	0000d463
4500	ed91ac	d46c	0000d46c
4501	ed91b1	d471	0000d471
4502	ed9295	d495	0000d495
4503	ed9298	d498	0000d498
4504	ed929b	d49b	0000d49b
4505	ed929c	d49c	0000d49c
4506	ed92a4	d4a4	0000d4a4
4507	ed92a5	d4a5	0000d4a5
4508	ed92a7	d4a7	0000d4a7
4509	ed92a8	d4a8	0000d4a8
4510	ed92b0	d4b0	0000d4b0
4511	ed92b1	d4b1	0000d4b1
4512	ed92b4	d4b4	0000d4b4
4513	ed92b8	d4b8	0000d4b8
4514	ed9380	d4c0	0000d4c0
4515	ed9381	d4c1	0000d4c1
4516	ed9383	d4c3	0000d4c3
4517	ed9385	d4c5	0000d4c5
4518	ed938d	d4cd	0000d4cd
4519	ed939d	d4dd	0000d4dd
4520	ed93a1	d4e1	0000d4e1
4521	ed93a9	d4e9	0000d4e9
4522	ed93af	d4ef	0000d4ef
4523	ed93b9	d4f9	0000d4f9
4524	ed9485	d505	0000d505
4525	ed948b	d50b	0000d50b
4526	ed9490	d510	0000d510
4527	ed94a1	d521	0000d521
4528	ed94a4	d524	0000d524
4529	ed94a8	d528	0000d528
4530	ed94b0	d530	0000d530
4531	ed94b1	d531	0000d531
4532	ed94b3	d533	0000d533
4533	ed9583	d543	0000d543
4534	ed9595	d555	0000d555
4535	ed9596	d556	0000d556
4536	ed959f	d55f	0000d55f
4537	ed95a1	d561	0000d561
4538	ed95a3	d563	0000d563
4539	ed95a7	d567	0000d567
4540	ed95ac	d56c	0000d56c
4541	ed95ae	d56e	0000d56e
4542	ed95b1	d571	0000d571
4543	ed968d	d58d	0000d58d
4544	ed9691	d591	0000d591
4545	ed9698	d598	0000d598
4546	ed96a0	d5a0	0000d5a0
4547	ed96a1	d5a1	0000d5a1
4548	ed96ab	d5ab	0000d5ab
4549	ed978f	d5cf	0000d5cf
4550	ed9791	d5d1	0000d5d1
4551	ed9795	d5d5	0000d5d5
4552	ed979c	d5dc	0000d5dc
4553	ed97a2	d5e2	0000d5e2
4554	ed97ab	d5eb	0000d5eb
4555	ed97be	d5fe	0000d5fe
4556	ed9887	d607	0000d607
4557	ed989d	d61d	0000d61d
4558	ed98ac	d62c	0000d62c
4559	ed98af	d62f	0000d62f
4560	ed98b0	d630	0000d630
4561	ed98b1	d631	0000d631
4562	ed98bb	d63b	0000d63b
4563	ed98bd	d63d	0000d63d
4564	ed98bf	d63f	0000d63f
4565	ed9981	d641	0000d641
4566	ed9984	d644	0000d644
4567	ed9987	d647	0000d647
4568	ed999b	d65b	0000d65b
4569	ed99a0	d660	0000d660
4570	ed99a4	d664	0000d664
4571	ed99a6	d666	0000d666
4572	ed99b7	d677	0000d677
4573	ed99b8	d678	0000d678
4574	ed9a80	d680	0000d680
4575	ed9a81	d681	0000d681
4576	ed9a84	d684	0000d684
4577	ed9a93	d693	0000d693
4578	ed9a9c	d69c	0000d69c
4579	ed9aa9	d6a9	0000d6a9
4580	ed9aaf	d6af	0000d6af
4581	ed9ab8	d6b8	0000d6b8
4582	ed9b8b	d6cb	0000d6cb
4583	ed9b8e	d6ce	0000d6ce
4584	ed9b92	d6d2	0000d6d2
4585	ed9b9c	d6dc	0000d6dc
4586	ed9b9d	d6dd	0000d6dd
4587	ed9ba1	d6e1	0000d6e1
4588	ed9bb1	d6f1	0000d6f1
4589	ed9bb3	d6f3	0000d6f3
4590	ed9bb4	d6f4	0000d6f4
4591	ed9c83	d703	0000d703
4592	ed9c8c	d70c	0000d70c
4593	ed9c8d	d70d	0000d70d
4594	ed9c8f	d70f	0000d70f
4595	ed9c90	d710	0000d710
4596	ed9c9f	d71f	0000d71f
4597	ed9cba	d73a	0000d73a
4598	ed9cbb	d73b	0000d73b
4599	ed9d83	d743	0000d743
4600	ed9d85	d745	0000d745
4601	ed9d8d	d74d	0000d74d
4602	ed9d95	d755	0000d755
4603	ed9d9f	d75f	0000d75f
4604	ed9da8	d768	0000d768
4605	ed9daa	d76a	0000d76a
4606	ed9dab	d76b	0000d76b
4607	ed9dad	d76d	0000d76d
4608	ed9db3	d773	0000d773
4609	ed9dbf	d77f	0000d77f
4610	ed9e8f	d78f	0000d78f
4611	ed9e97	d797	0000d797
4612	ed9ea0	d7a0	0000d7a0
4613	eab085	ac05	0000ac05
4614	eab086	ac06	0000ac06
4615	eab08d	ac0d	0000ac0d
4616	eab08e	ac0e	0000ac0e
4617	eab08f	ac0f	0000ac0f
4618	eab098	ac18	0000ac18
4619	eab09e	ac1e	0000ac1e
4620	eab09f	ac1f	0000ac1f
4621	eab0a1	ac21	0000ac21
4622	eab0a5	ac25	0000ac25
4623	eab0a6	ac26	0000ac26
4624	eab0a7	ac27	0000ac27
4625	eab0a8	ac28	0000ac28
4626	eab0a9	ac29	0000ac29
4627	eab0aa	ac2a	0000ac2a
4628	eab0ab	ac2b	0000ac2b
4629	eab0ae	ac2e	0000ac2e
4630	eab0b3	ac33	0000ac33
4631	eab0b4	ac34	0000ac34
4632	eab0b7	ac37	0000ac37
4633	eab0ba	ac3a	0000ac3a
4634	eab0bb	ac3b	0000ac3b
4635	eab0bd	ac3d	0000ac3d
4636	eab0be	ac3e	0000ac3e
