# cid2code.txt (Beta Version 2018-05-15)
#
# The data in this table contains four tab-delimited columns of
# information. The contents of this file supplement "The Adobe-KR-9
# Character Collection":
#
# https://github.com/adobe-type-tools/Adobe-KR/
#
# This table contains lists CIDs 0 through 22875 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded
# value. Here are some common aspects of the data that you will find
# in this table:
#
# o All character codes are provided in hexadecimal notation.
#
# o There are cases of multiple code points mapping to the same CID
#   within a single CMap resource. These cases are comma-delimited
#   within the same column.
#
# The following is a synopsis of columns 2 through 4, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "UniAKR-UTF8-H" CMap resource
#   (Unicode Version 10.0 UTF-8 encoding).
#
# o Column 3: Character codes for the "UniAKR-UTF16-H" CMap resource
#   (Unicode Version 10.0 UTF-16 encoding).
#
# o Column 4: Character codes for the "UniAKR-UTF32-H" CMap resource
#   (Unicode Version 10.0 UTF-32 encoding).
#
CID	UniAKR-UTF8	UniAKR-UTF16	UniAKR-UTF32
181	e384bf,efbeaf	313f,ffaf	0000313f,0000ffaf
182	e38580,efbeb0	3140,ffb0	00003140,0000ffb0
183	e38581,efbeb1	3141,ffb1	00003141,0000ffb1
184	e38582,efbeb2	3142,ffb2	00003142,0000ffb2
185	e38583,efbeb3	3143,ffb3	00003143,0000ffb3
186	e38584,efbeb4	3144,ffb4	00003144,0000ffb4
187	e38585,efbeb5	3145,ffb5	00003145,0000ffb5
188	e38586,efbeb6	3146,ffb6	00003146,0000ffb6
189	e38587,efbeb7	3147,ffb7	00003147,0000ffb7
190	e38588,efbeb8	3148,ffb8	00003148,0000ffb8
191	e38589,efbeb9	3149,ffb9	00003149,0000ffb9
192	e3858a,efbeba	314a,ffba	0000314a,0000ffba
193	e3858b,efbebb	314b,ffbb	0000314b,0000ffbb
194	e3858c,efbebc	314c,ffbc	0000314c,0000ffbc
195	e3858d,efbebd	314d,ffbd	0000314d,0000ffbd
196	e3858e,efbebe	314e,ffbe	0000314e,0000ffbe
197	e3858f,efbf82	314f,ffc2	0000314f,0000ffc2
198	e38590,efbf83	3150,ffc3	00003150,0000ffc3
199	e38591,efbf84	3151,ffc4	00003151,0000ffc4
200	e38592,efbf85	3152,ffc5	00003152,0000ffc5
201	e38593,efbf86	3153,ffc6	00003153,0000ffc6
202	e38594,efbf87	3154,ffc7	00003154,0000ffc7
203	e38595,efbf8a	3155,ffca	00003155,0000ffca
204	e38596,efbf8b	3156,ffcb	00003156,0000ffcb
205	e38597,efbf8c	3157,ffcc	00003157,0000ffcc
206	e38598,efbf8d	3158,ffcd	00003158,0000ffcd
207	e38599,efbf8e	3159,ffce	00003159,0000ffce
208	e3859a,efbf8f	315a,ffcf	0000315a,0000ffcf
209	e3859b,efbf92	315b,ffd2	0000315b,0000ffd2
210	e3859c,efbf93	315c,ffd3	0000315c,0000ffd3
211	e3859d,efbf94	315d,ffd4	0000315d,0000ffd4
212	e3859e,efbf95	315e,ffd5	0000315e,0000ffd5
213	e3859f,efbf96	315f,ffd6	0000315f,0000ffd6
214	e385a0,efbf97	3160,ffd7	00003160,0000ffd7
215	e385a1,efbf9a	3161,ffda	00003161,0000ffda
216	e385a2,efbf9b	3162,ffdb	00003162,0000ffdb
217	e385a3,efbf9c	3163,ffdc	00003163,0000ffdc
218	eab080	ac00	0000ac00
219	eab081	ac01	0000ac01
220	eab084	ac04	0000ac04
221	eab087	ac07	0000ac07
222	eab088	ac08	0000ac08
223	eab089	ac09	0000ac09
224	eab08a	ac0a	0000ac0a
225	eab08b	ac0b	0000ac0b
226	eab090	ac10	0000ac10
227	eab091	ac11	0000ac11
228	eab092	ac12	0000ac12
229	eab093	ac13	0000ac13
230	eab094	ac14	0000ac14
231	eab095	ac15	0000ac15
232	eab096	ac16	0000ac16
233	eab097	ac17	0000ac17
234	eab099	ac19	0000ac19
235	eab09a	ac1a	0000ac1a
236	eab09b	ac1b	0000ac1b
237	eab09c	ac1c	0000ac1c
238	eab09d	ac1d	0000ac1d
239	eab0a0	ac20	0000ac20
240	eab0a3	ac23	0000ac23
241	eab0a4	ac24	0000ac24
242	eab0ac	ac2c	0000ac2c
243	eab0ad	ac2d	0000ac2d
244	eab0af	ac2f	0000ac2f
245	eab0b0	ac30	0000ac30
246	eab0b1	ac31	0000ac31
247	eab0b8	ac38	0000ac38
248	eab0b9	ac39	0000ac39
249	eab0bc	ac3c	0000ac3c
250	eab180	ac40	0000ac40
251	eab18b	ac4b	0000ac4b
252	eab18d	ac4d	0000ac4d
253	eab194	ac54	0000ac54
254	eab198	ac58	0000ac58
255	eab19c	ac5c	0000ac5c
256	eab1a5	ac65	0000ac65
257	eab1b0	ac70	0000ac70
258	eab1b1	ac71	0000ac71
259	eab1b4	ac74	0000ac74
260	eab1b7	ac77	0000ac77
261	eab1b8	ac78	0000ac78
262	eab1ba	ac7a	0000ac7a
263	eab280	ac80	0000ac80
264	eab281	ac81	0000ac81
265	eab282	ac82	0000ac82
266	eab283	ac83	0000ac83
267	eab284	ac84	0000ac84
268	eab285	ac85	0000ac85
269	eab286	ac86	0000ac86
270	eab289	ac89	0000ac89
271	eab28a	ac8a	0000ac8a
272	eab28b	ac8b	0000ac8b
273	eab28c	ac8c	0000ac8c
274	eab28d	ac8d	0000ac8d
275	eab290	ac90	0000ac90
276	eab294	ac94	0000ac94
277	eab29c	ac9c	0000ac9c
278	eab29d	ac9d	0000ac9d
279	eab29f	ac9f	0000ac9f
280	eab2a0	aca0	0000aca0
281	eab2a1	aca1	0000aca1
282	eab2a8	aca8	0000aca8
283	eab2a9	aca9	0000aca9
284	eab2aa	acaa	0000acaa
285	eab2ac	acac	0000acac
286	eab2af	acaf	0000acaf
287	eab2b0	acb0	0000acb0
288	eab2b7	acb7	0000acb7
289	eab2b8	acb8	0000acb8
290	eab2b9	acb9	0000acb9
291	eab2bb	acbb	0000acbb
292	eab2bc	acbc	0000acbc
293	eab2bd	acbd	0000acbd
294	eab2bf	acbf	0000acbf
295	eab381	acc1	0000acc1
296	eab384	acc4	0000acc4
297	eab388	acc8	0000acc8
298	eab38c	accc	0000accc
299	eab395	acd5	0000acd5
300	eab397	acd7	0000acd7
301	eab398	acd8	0000acd8
302	eab3a0	ace0	0000ace0
303	eab3a1	ace1	0000ace1
304	eab3a4	ace4	0000ace4
305	eab3a7	ace7	0000ace7
306	eab3a8	ace8	0000ace8
307	eab3aa	acea	0000acea
308	eab3ac	acec	0000acec
309	eab3af	acef	0000acef
310	eab3b0	acf0	0000acf0
311	eab3b1	acf1	0000acf1
312	eab3b3	acf3	0000acf3
313	eab3b5	acf5	0000acf5
314	eab3b6	acf6	0000acf6
315	eab3b9	acf9	0000acf9
316	eab3bc	acfc	0000acfc
317	eab3bd	acfd	0000acfd
318	eab480	ad00	0000ad00
